,doc_id,maturity,vol_1,vol_1_type,price_1,price_1_type,price_2,price_2_type,price_3,price_3_type,instrument_type,product_type,red_flag,vol_2,vol_2_type
1,APC20040304,2004,319,mmbtu/d,$2.87,floor sold,$3.94,floor purchased,$5.52,ceiling sold,three way collar,natural gas,,,
2,APC20040304,2005,19,mmbtu/d,$2.20,floor sold,$3.00,floor purchased,$4.83,ceiling sold,three way collar,natural gas,,,
1,APC20040304,2004,44,mmbtu/d,$4.29,floor purchased,$6.43,ceiling sold,,,two way collar,natural gas,,,
2,APC20040304,2005,26,mmbtu/d,$3.76,floor purchased,$5.65,ceiling sold,,,two way collar,natural gas,,,
1,APC20040304,2004,259,mmbtu/d,$3.86,price per mmbtu,$(0.13,price per mmbtu,,,basis swap,natural gas,,197,mmbtu/d
2,APC20040304,2005,33,mmbtu/d,$3.46,price per mmbtu,$(0.22,price per mmbtu,,,basis swap,natural gas,,53,mmbtu/d
1,APC20040304,2004,38.0,mbbls/d,$20.13,floor sold,$24.61,floor purchased,$30.0,ceiling sold,three way collar,oil,,,
1,APC20040304,2004,3.0,mbbls/d,$22.0,floor purchased,$26.32,ceiling sold,,,two way collar,oil,,,
2,APC20040304,2005,2,mbbls/d,$22.00,floor purchased,$26.32,ceiling sold,,,two way collar,oil,,,
1,APC20040304,2004,26.0,mbbls/d,$27.22,price per barrel,,,,,@,oil,,,
1,APC20050315,2005,26,mmbtu/d,$5.65,ceiling sold,$3.76,floor purchased,,,two way collar,natural gas,,,
2,APC20050315,2006,10,mmbtu/d,$5.88,ceiling sold,$4.00,floor purchased,,,two way collar,natural gas,,,
1,APC20050315,2005,269,mmbtu/d,$9.37,ceiling sold,$5.00,floor purchased,$4.01,floor sold,three way collar,natural gas,,,
1,APC20050315,2005,21,mmbtu/d,$2.97,price per mmbtu,$(0.17,price per mmbtu,,,basis swap,natural gas,,141,mmbtu/d
2,APC20050315,2006,11,mmbtu/d,$2.87,price per mmbtu,$(0.21,price per mmbtu,,,basis swap,natural gas,,21,mmbtu/d
1,APC20050315,2005,2.0,mbbls/d,$26.32,ceiling sold,$22.0,floor purchased,,,two way collar,oil,,,
2,APC20050315,2006,1,mbbls/d,$26.32,ceiling sold,$22.00,floor purchased,,,two way collar,oil,,,
1,APC20050315,2005,43.0,mbbls/d,$46.89,ceiling sold,$32.28,floor purchased,$27.28,floor sold,three way collar,oil,,,
1,APC20060303,2006,10.0,mmbtu/d,$5.88,ceiling sold,$4.0,floor purchased,,,two way collar,natural gas,,,
1,APC20060303,2006,11.0,mmbtu/d,$2.87,price per mmbtu,,,,,@,natural gas,,,
1,APC20060303,2006,1,mbbls/d,$26.32,ceiling sold,$22.00,floor purchased,,,two way collar,oil,,,
2,APC20060303,20072011,9,mbbls/d,$85.43,ceiling sold,$49.46,floor purchased,$34.46,floor sold,three way collar,oil,,,
1,APC20070228,2007,35,mbbls/d,$86.16,ceiling sold,$58.57,floor purchased,$43.57,floor sold,three way collar,oil,,,
2,APC20070228,2008,86,mbbls/d,$92.98,ceiling sold,$56.07,floor purchased,$41.07,floor sold,three way collar,oil,,,
3,APC20070228,2009,48,mbbls/d,$87.04,ceiling sold,$52.51,floor purchased,$37.51,floor sold,three way collar,oil,,,
4,APC20070228,20102012,8,mbbls/d,$87.04,ceiling sold,$49.35,floor purchased,$34.34,floor sold,three way collar,oil,,,
1,APC20070228,2007,19,mbbls/d,$60.40,ceiling sold,$44.33,floor purchased,,,two way collar,oil,,,
1,APC20070228,2007,27,mbbls/d,$51.44,price per barrel,,,,,@,oil,,,
1,APC20070228,2007,30,mmbtu/d,$11.23,ceiling sold,$9.00,floor purchased,$6.00,floor sold,three way collar,natural gas,,,
2,APC20070228,2008,500,mmbtu/d,$14.26,ceiling sold,$7.50,floor purchased,$5.00,floor sold,three way collar,natural gas,,,
3,APC20070228,2009,50,mmbtu/d,$12.60,ceiling sold,$7.50,floor purchased,$5.00,floor sold,three way collar,natural gas,,,
1,APC20070228,2007,386,mmbtu/d,$10.73,ceiling sold,$6.27,price per mmbtu,,,two way collar,natural gas,,,
1,APC20070228,2007,405,mmbtu/d,$7.14,price per mmbtu,$(1.08,price per mmbtu,,,basis swap,natural gas,,557,mmbtu/d
2,APC20070228,2008,105,mmbtu/d,$8.16,price per mmbtu,$(1.05,price per mmbtu,,,basis swap,natural gas,,575,mmbtu/d
3,APC20070228,2009,90,mmbtu/d,$7.84,price per mmbtu,$(1.08,price per mmbtu,,,basis swap,natural gas,,20,mmbtu/d
1,APC20080229,2008,1400,mmbtu/d,$10.97,ceiling sold,$7.50,floor purchased,$5.32,floor sold,three way collar,natural gas,,,
2,APC20080229,2009,190,mmbtu/d,$11.54,ceiling sold,$7.50,floor purchased,$5.37,floor sold,three way collar,natural gas,,,
1,APC20080229,2008,1405,mmbtu/d,$(0.85,price per mmbtu,,,,,basis swap,natural gas,,,
2,APC20080229,2009,1030,mmbtu/d,$(0.87,price per mmbtu,,,,,basis swap,natural gas,,,
3,APC20080229,2010,345,mmbtu/d,$(1.08,price per mmbtu,,,,,basis swap,natural gas,,,
1,APC20080229,2008,86.0,mbbls/d,$92.98,ceiling sold,$56.07,floor purchased,$41.07,floor sold,three way collar,oil,,,
2,APC20080229,2009,48.0,mbbls/d,$87.04,ceiling sold,$52.51,floor purchased,$37.51,floor sold,three way collar,oil,,,
3,APC20080229,2010,18.0,mbbls/d,$86.76,ceiling sold,$49.19,floor purchased,$34.18,floor sold,three way collar,oil,,,
4,APC20080229,20112012,2,mbbls/d,$88.17,ceiling sold,$50.00,floor purchased,$35.00,floor sold,three way collar,oil,,,
1,APC20090225,2009,530,mmbtu/d,$11.25,ceiling sold,$7.50,floor purchased,$5.45,floor sold,three way collar,natural gas,,,
1,APC20090225,2009,1200,mmbtu/d,$(0.85,price per mmbtu,,,,,basis swap,natural gas,,,
2,APC20090225,2010,465,mmbtu/d,$(1.16,price per mmbtu,,,,,basis swap,natural gas,,,
3,APC20090225,2011,45,mmbtu/d,$(1.74,price per mmbtu,,,,,basis swap,natural gas,,,
1,APC20090225,2009,48.0,mbbls/d,$87.04,ceiling sold,$52.51,floor purchased,$37.51,floor sold,three way collar,oil,,,
2,APC20090225,2010,18.0,mbbls/d,$86.76,ceiling sold,$49.19,floor purchased,$34.18,floor sold,three way collar,oil,,,
3,APC20090225,2011,3.0,mbbls/d,$86.0,ceiling sold,$50.0,floor purchased,$35.0,floor sold,three way collar,oil,,,
4,APC20090225,2012,2.0,mbbls/d,$92.5,ceiling sold,$50.0,floor purchased,$35.0,floor sold,three way collar,oil,,,
1,APC20100223,2010,1630,mmbtu/d,$8.23,ceiling sold,$5.59,floor purchased,$4.22,floor sold,three way collar,natural gas,,,
2,APC20100223,2011,480,mmbtu/d,$8.29,ceiling sold,$6.50,floor purchased,$5.00,floor sold,three way collar,natural gas,,,
3,APC20100223,2012,500,mmbtu/d,$9.03,ceiling sold,$6.50,floor purchased,$5.00,floor sold,three way collar,natural gas,,,
1,APC20100223,2010,90,mmbtu/d,$6.10,price per mmbtu,$(0.98,price per mmbtu,,,basis swap,natural gas,,620,mmbtu/d
2,APC20100223,2011,90,mmbtu/d,$6.17,price per mmbtu,$(1.74,price per mmbtu,,,basis swap,natural gas,,45,mmbtu/d
1,APC20100223,2010,129.0,mbbls/d,$90.73,ceiling sold,$64.34,floor purchased,$49.34,floor sold,three way collar,oil,,,
2,APC20100223,2011,3.0,mbbls/d,$86.0,ceiling sold,$50.0,floor purchased,$35.0,floor sold,three way collar,oil,,,
3,APC20100223,2012,2.0,mbbls/d,$92.5,ceiling sold,$50.0,floor purchased,$35.0,floor sold,three way collar,oil,,,
1,APC20110223,2011,480,mmbtu/d,$8.29,ceiling sold,$6.50,floor purchased,$5.00,floor sold,three way collar,natural gas,,,
2,APC20110223,2012,500,mmbtu/d,$9.03,ceiling sold,$6.50,floor purchased,$5.00,floor sold,three way collar,natural gas,,,
1,APC20110223,2011,90,mmbtu/d,$6.17,price per mmbtu,$(1.74,price per mmbtu,,,basis swap,natural gas,,45,mmbtu/d
1,APC20110223,2011,126.0,mbbls/d,$99.95,ceiling sold,$79.29,floor purchased,$64.29,floor sold,three way collar,oil,,,
2,APC20110223,2012,2.0,mbbls/d,$92.5,ceiling sold,$50.0,floor purchased,$35.0,floor sold,three way collar,oil,,,
1,APC20120221,2012,2,mbbls/d,$92.50,ceiling sold,$50.00,floor purchased,$35.00,floor sold,three way collar,oil,,,
2,APC20120221,2012,Neg1,mmbtu/d,,ceiling sold,,floor purchased,,floor sold,three way collar,@,1,,
3,APC20120221,2013,450,mmbtu/d,$6.57,ceiling sold,$5.00,floor purchased,$4.00,floor sold,three way collar,natural gas,,,
1,APC20120221,2012,1000,mmbtu/d,$4.69,price per mmbtu,,,,,@,natural gas,,,
1,APC20130219,2013,26,mbbls/d,$125.15,ceiling sold,$105.00,floor purchased,$85.00,floor sold,three way collar,oil,,,
1,APC20130219,2013,40,mbbls/d,$107.04,price per barrel,,,,,@,oil,,,
2,APC20130219,2013,Neg1,mmbtu/d,,,,,,,three way collar,natural gas,1,,
1,APC20130219,2013,1185,mmbtu/d,$4.00,price per mmbtu,,,,,@,natural gas,,,
1,APC20140228,2014,107,mbbls/d,$100.58,price per mmbtu,,,,,@,oil,,,
1,APC20140228,2014,600,mmbtu/d,$5.01,ceiling sold,$3.75,floor purchased,$2.75,floor sold,three way collar,natural gas,,,
2,APC20140228,2015,635,mmbtu/d,$4.76,ceiling sold,$3.75,floor purchased,$2.75,floor sold,three way collar,natural gas,,,
1,APC20140228,2014,600,mmbtu/d,$4.26,price per mmbtu,$4.19,price per mmbtu,,,@,natural gas,,400,mmbtu/d
1,APC20150220,2015,635,mmbtu/d,$4.76,ceiling sold,$3.75,floor purchased,$2.75,floor sold,three way collar,natural gas,,,
1,APC20150220,2015,170,mmbtu/d,$4.17,price per mmbtu,,,,,@,natural gas,,,
1,APC20160217,2016,83,mbbls/d,$63.82,ceiling sold,$54.46,floor purchased,$42.77,floor sold,three way collar,oil,,,
1,APC20160217,2016,38,mmbtu/d,$2.53,price per mmbtu,,,,,@,natural gas,,,
1,APC20160217,2016,4,mbbls/d,$13.07,price per barrel,,,,,@,oil,,,
1,APC20170217,2017,91,mbbls/d,$59.80,ceiling sold,$50.00,floor purchased,$40.00,floor sold,three way collar,oil,,,
1,APC20170217,2017,682,mmbtu/d,$3.60,ceiling sold,$2.75,floor purchased,$2.00,floor sold,three way collar,natural gas,,,
2,APC20170217,2018,250,mmbtu/d,$3.54,ceiling sold,$2.75,floor purchased,$2.00,floor sold,three way collar,natural gas,,,
1,APC20170217,2017,37,mmbtu/d,$3.23,price per mmbtu,,,,,@,natural gas,,,
1,APC20170217,2017,2,mbbls/d,$15.84,price per mmbtu,,,,,@,natural gas,,,
